PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,"Braund, Mr. Owen Harris",M,22.0,1,0,7.25,Southampton
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",F,38.0,1,0,71.2833,Cherbourg
3,1,3,"Heikkinen, Miss. Laina",F,26.0,0,0,7.925,Southampton
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",F,35.0,1,0,53.1,Southampton
5,0,3,"Allen, Mr. William Henry",M,35.0,0,0,8.05,Southampton
6,0,3,"Moran, Mr. James",M,30.0,0,0,8.4583,Queenstown
7,0,1,"McCarthy, Mr. Timothy J",M,54.0,0,0,51.8625,Southampton
8,0,3,"Palsson, Master. Gosta Leonard",M,2.0,3,1,21.075,Southampton
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",F,27.0,0,2,11.1333,Southampton
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",F,14.0,1,0,30.0708,Cherbourg
11,1,3,"Sandstrom, Miss. Marguerite Rut",F,4.0,1,1,16.7,Southampton
12,1,1,"Bonnell, Miss. Elizabeth",F,58.0,0,0,26.55,Southampton
13,0,3,"Saundercock, Mr. William Henry",M,20.0,0,0,8.05,Southampton
14,0,3,"Andersson, Mr. Anders Johan",M,39.0,1,5,31.275,Southampton
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",F,14.0,0,0,7.8542,Southampton
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",F,55.0,0,0,16.0,Southampton
17,0,3,"Rice, Master. Eugene",M,2.0,4,1,29.125,Queenstown
18,1,2,"Williams, Mr. Charles Eugene",M,30.0,0,0,13.0,Southampton
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",F,31.0,1,0,18.0,Southampton
20,1,3,"Masselmani, Mrs. Fatima",F,30.0,0,0,7.225,Cherbourg
21,0,2,"Fynney, Mr. Joseph J",M,35.0,0,0,26.0,Southampton
22,1,2,"Beesley, Mr. Lawrence",M,34.0,0,0,13.0,Southampton
23,1,3,"McGowan, Miss. Anna ""Annie""",F,15.0,0,0,8.0292,Queenstown
24,1,1,"Sloper, Mr. William Thompson",M,28.0,0,0,35.5,Southampton
25,0,3,"Palsson, Miss. Torborg Danira",F,8.0,3,1,21.075,Southampton
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",F,38.0,1,5,31.3875,Southampton
27,0,3,"Emir, Mr. Farred Chehab",M,30.0,0,0,7.225,Cherbourg
28,0,1,"Fortune, Mr. Charles Alexander",M,19.0,3,2,263.0,Southampton
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",F,30.0,0,0,7.8792,Queenstown
30,0,3,"Todoroff, Mr. Lalio",M,30.0,0,0,7.8958,Southampton
31,0,1,"Uruchurtu, Don. Manuel E",M,40.0,0,0,27.7208,Cherbourg
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",F,30.0,1,0,146.5208,Cherbourg
33,1,3,"Glynn, Miss. Mary Agatha",F,30.0,0,0,7.75,Queenstown
34,0,2,"Wheadon, Mr. Edward H",M,66.0,0,0,10.5,Southampton
35,0,1,"Meyer, Mr. Edgar Joseph",M,28.0,1,0,82.1708,Cherbourg
36,0,1,"Holverson, Mr. Alexander Oskar",M,42.0,1,0,52.0,Southampton
37,1,3,"Mamee, Mr. Hanna",M,30.0,0,0,7.2292,Cherbourg
38,0,3,"Cann, Mr. Ernest Charles",M,21.0,0,0,8.05,Southampton
39,0,3,"Vander Planke, Miss. Augusta Maria",F,18.0,2,0,18.0,Southampton
40,1,3,"Nicola-Yarred, Miss. Jamila",F,14.0,1,0,11.2417,Cherbourg
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",F,40.0,1,0,9.475,Southampton
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",F,27.0,1,0,21.0,Southampton
43,0,3,"Kraeff, Mr. Theodor",M,30.0,0,0,7.8958,Cherbourg
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",F,3.0,1,2,41.5792,Cherbourg
45,1,3,"Devaney, Miss. Margaret Delia",F,19.0,0,0,7.8792,Queenstown
46,0,3,"Rogers, Mr. William John",M,30.0,0,0,8.05,Southampton
47,0,3,"Lennon, Mr. Denis",M,30.0,1,0,15.5,Queenstown
48,1,3,"O'Driscoll, Miss. Bridget",F,30.0,0,0,7.75,Queenstown
49,0,3,"Samaan, Mr. Youssef",M,30.0,2,0,21.6792,Cherbourg
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",F,18.0,1,0,17.8,Southampton
51,0,3,"Panula, Master. Juha Niilo",M,7.0,4,1,39.6875,Southampton
52,0,3,"Nosworthy, Mr. Richard Cater",M,21.0,0,0,7.8,Southampton
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",F,49.0,1,0,76.7292,Cherbourg
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",F,29.0,1,0,26.0,Southampton
55,0,1,"Ostby, Mr. Engelhart Cornelius",M,65.0,0,1,61.9792,Cherbourg
56,1,1,"Woolner, Mr. Hugh",M,30.0,0,0,35.5,Southampton
57,1,2,"Rugg, Miss. Emily",F,21.0,0,0,10.5,Southampton
58,0,3,"Novel, Mr. Mansouer",M,28.0,0,0,7.2292,Cherbourg
59,1,2,"West, Miss. Constance Mirium",F,5.0,1,2,27.75,Southampton
60,0,3,"Goodwin, Master. William Frederick",M,11.0,5,2,46.9,Southampton
61,0,3,"Sirayanian, Mr. Orsen",M,22.0,0,0,7.2292,Cherbourg
62,1,1,"Icard, Miss. Amelie",F,38.0,0,0,80.0,Unknown
63,0,1,"Harris, Mr. Henry Birkhardt",M,45.0,1,0,83.475,Southampton
64,0,3,"Skoog, Master. Harald",M,4.0,3,2,27.9,Southampton
65,0,1,"Stewart, Mr. Albert A",M,30.0,0,0,27.7208,Cherbourg
66,1,3,"Moubarek, Master. Gerios",M,30.0,1,1,15.2458,Cherbourg
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",F,29.0,0,0,10.5,Southampton
68,0,3,"Crease, Mr. Ernest James",M,19.0,0,0,8.1583,Southampton
69,1,3,"Andersson, Miss. Erna Alexandra",F,17.0,4,2,7.925,Southampton
70,0,3,"Kink, Mr. Vincenz",M,26.0,2,0,8.6625,Southampton
71,0,2,"Jenkin, Mr. Stephen Curnow",M,32.0,0,0,10.5,Southampton
72,0,3,"Goodwin, Miss. Lillian Amy",F,16.0,5,2,46.9,Southampton
73,0,2,"Hood, Mr. Ambrose Jr",M,21.0,0,0,73.5,Southampton
74,0,3,"Chronopoulos, Mr. Apostolos",M,26.0,1,0,14.4542,Cherbourg
75,1,3,"Bing, Mr. Lee",M,32.0,0,0,56.4958,Southampton
76,0,3,"Moen, Mr. Sigurd Hansen",M,25.0,0,0,7.65,Southampton
77,0,3,"Staneff, Mr. Ivan",M,30.0,0,0,7.8958,Southampton
78,0,3,"Moutal, Mr. Rahamin Haim",M,30.0,0,0,8.05,Southampton
79,1,2,"Caldwell, Master. Alden Gates",M,1.0,0,2,29.0,Southampton
80,1,3,"Dowdell, Miss. Elizabeth",F,30.0,0,0,12.475,Southampton
81,0,3,"Waelens, Mr. Achille",M,22.0,0,0,9.0,Southampton
82,1,3,"Sheerlinck, Mr. Jan Baptist",M,29.0,0,0,9.5,Southampton
83,1,3,"McDermott, Miss. Brigdet Delia",F,30.0,0,0,7.7875,Queenstown
84,0,1,"Carrau, Mr. Francisco M",M,28.0,0,0,47.1,Southampton
85,1,2,"Ilett, Miss. Bertha",F,17.0,0,0,10.5,Southampton
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",F,33.0,3,0,15.85,Southampton
87,0,3,"Ford, Mr. William Neal",M,16.0,1,3,34.375,Southampton
88,0,3,"Slocovski, Mr. Selman Francis",M,30.0,0,0,8.05,Southampton
89,1,1,"Fortune, Miss. Mabel Helen",F,23.0,3,2,263.0,Southampton
90,0,3,"Celotti, Mr. Francesco",M,24.0,0,0,8.05,Southampton
91,0,3,"Christmann, Mr. Emil",M,29.0,0,0,8.05,Southampton
92,0,3,"Andreasson, Mr. Paul Edvin",M,20.0,0,0,7.8542,Southampton
93,0,1,"Chaffee, Mr. Herbert Fuller",M,46.0,1,0,61.175,Southampton
94,0,3,"Dean, Mr. Bertram Frank",M,26.0,1,2,20.575,Southampton
95,0,3,"Coxon, Mr. Daniel",M,59.0,0,0,7.25,Southampton
96,0,3,"Shorney, Mr. Charles Joseph",M,30.0,0,0,8.05,Southampton
97,0,1,"Goldschmidt, Mr. George B",M,71.0,0,0,34.6542,Cherbourg
98,1,1,"Greenfield, Mr. William Bertram",M,23.0,0,1,63.3583,Cherbourg
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",F,34.0,0,1,23.0,Southampton
100,0,2,"Kantor, Mr. Sinai",M,34.0,1,0,26.0,Southampton
101,0,3,"Petranec, Miss. Matilda",F,28.0,0,0,7.8958,Southampton
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",M,30.0,0,0,7.8958,Southampton
103,0,1,"White, Mr. Richard Frasar",M,21.0,0,1,77.2875,Southampton
104,0,3,"Johansson, Mr. Gustaf Joel",M,33.0,0,0,8.6542,Southampton
105,0,3,"Gustafsson, Mr. Anders Vilhelm",M,37.0,2,0,7.925,Southampton
106,0,3,"Mionoff, Mr. Stoytcho",M,28.0,0,0,7.8958,Southampton
107,1,3,"Salkjelsvik, Miss. Anna Kristine",F,21.0,0,0,7.65,Southampton
108,1,3,"Moss, Mr. Albert Johan",M,30.0,0,0,7.775,Southampton
109,0,3,"Rekic, Mr. Tido",M,38.0,0,0,7.8958,Southampton
110,1,3,"Moran, Miss. Bertha",F,30.0,1,0,24.15,Queenstown
111,0,1,"Porter, Mr. Walter Chamberlain",M,47.0,0,0,52.0,Southampton
112,0,3,"Zabour, Miss. Hileni",F,14.0,1,0,14.4542,Cherbourg
113,0,3,"Barton, Mr. David John",M,22.0,0,0,8.05,Southampton
114,0,3,"Jussila, Miss. Katriina",F,20.0,1,0,9.825,Southampton
115,0,3,"Attalah, Miss. Malake",F,17.0,0,0,14.4583,Cherbourg
116,0,3,"Pekoniemi, Mr. Edvard",M,21.0,0,0,7.925,Southampton
117,0,3,"Connors, Mr. Patrick",M,70.0,0,0,7.75,Queenstown
118,0,2,"Turpin, Mr. William John Robert",M,29.0,1,0,21.0,Southampton
119,0,1,"Baxter, Mr. Quigg Edmond",M,24.0,0,1,247.5208,Cherbourg
120,0,3,"Andersson, Miss. Ellis Anna Maria",F,2.0,4,2,31.275,Southampton
121,0,2,"Hickman, Mr. Stanley George",M,21.0,2,0,73.5,Southampton
122,0,3,"Moore, Mr. Leonard Charles",M,30.0,0,0,8.05,Southampton
123,0,2,"Nasser, Mr. Nicholas",M,32.0,1,0,30.0708,Cherbourg
124,1,2,"Webber, Miss. Susan",F,32.0,0,0,13.0,Southampton
125,0,1,"White, Mr. Percival Wayland",M,54.0,0,1,77.2875,Southampton
126,1,3,"Nicola-Yarred, Master. Elias",M,12.0,1,0,11.2417,Cherbourg
127,0,3,"McMahon, Mr. Martin",M,30.0,0,0,7.75,Queenstown
128,1,3,"Madsen, Mr. Fridtjof Arne",M,24.0,0,0,7.1417,Southampton
129,1,3,"Peter, Miss. Anna",F,30.0,1,1,22.3583,Cherbourg
130,0,3,"Ekstrom, Mr. Johan",M,45.0,0,0,6.975,Southampton
131,0,3,"Drazenoic, Mr. Jozef",M,33.0,0,0,7.8958,Cherbourg
132,0,3,"Coelho, Mr. Domingos Fernandeo",M,20.0,0,0,7.05,Southampton
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",F,47.0,1,0,14.5,Southampton
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",F,29.0,1,0,26.0,Southampton
135,0,2,"Sobey, Mr. Samuel James Hayden",M,25.0,0,0,13.0,Southampton
136,0,2,"Richard, Mr. Emile",M,23.0,0,0,15.0458,Cherbourg
137,1,1,"Newsom, Miss. Helen Monypeny",F,19.0,0,2,26.2833,Southampton
138,0,1,"Futrelle, Mr. Jacques Heath",M,37.0,1,0,53.1,Southampton
139,0,3,"Osen, Mr. Olaf Elon",M,16.0,0,0,9.2167,Southampton
140,0,1,"Giglio, Mr. Victor",M,24.0,0,0,79.2,Cherbourg
141,0,3,"Boulos, Mrs. Joseph (Sultana)",F,30.0,0,2,15.2458,Cherbourg
142,1,3,"Nysten, Miss. Anna Sofia",F,22.0,0,0,7.75,Southampton
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",F,24.0,1,0,15.85,Southampton
144,0,3,"Burke, Mr. Jeremiah",M,19.0,0,0,6.75,Queenstown
145,0,2,"Andrew, Mr. Edgardo Samuel",M,18.0,0,0,11.5,Southampton
146,0,2,"Nicholls, Mr. Joseph Charles",M,19.0,1,1,36.75,Southampton
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",M,27.0,0,0,7.7958,Southampton
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",F,9.0,2,2,34.375,Southampton
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",M,36.0,0,2,26.0,Southampton
150,0,2,"Byles, Rev. Thomas Roussel Davids",M,42.0,0,0,13.0,Southampton
151,0,2,"Bateman, Rev. Robert James",M,51.0,0,0,12.525,Southampton
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",F,22.0,1,0,66.6,Southampton
153,0,3,"Meo, Mr. Alfonzo",M,56.0,0,0,8.05,Southampton
154,0,3,"van Billiard, Mr. Austin Blyler",M,40.0,0,2,14.5,Southampton
155,0,3,"Olsen, Mr. Ole Martin",M,30.0,0,0,7.3125,Southampton
156,0,1,"Williams, Mr. Charles Duane",M,51.0,0,1,61.3792,Cherbourg
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",F,16.0,0,0,7.7333,Queenstown
158,0,3,"Corn, Mr. Harry",M,30.0,0,0,8.05,Southampton
159,0,3,"Smiljanic, Mr. Mile",M,30.0,0,0,8.6625,Southampton
160,0,3,"Sage, Master. Thomas Henry",M,30.0,8,2,69.55,Southampton
161,0,3,"Cribb, Mr. John Hatfield",M,44.0,0,1,16.1,Southampton
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",F,40.0,0,0,15.75,Southampton
163,0,3,"Bengtsson, Mr. John Viktor",M,26.0,0,0,7.775,Southampton
164,0,3,"Calic, Mr. Jovo",M,17.0,0,0,8.6625,Southampton
165,0,3,"Panula, Master. Eino Viljami",M,1.0,4,1,39.6875,Southampton
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",M,9.0,0,2,20.525,Southampton
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",F,30.0,0,1,55.0,Southampton
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",F,45.0,1,4,27.9,Southampton
169,0,1,"Baumann, Mr. John D",M,30.0,0,0,25.925,Southampton
170,0,3,"Ling, Mr. Lee",M,28.0,0,0,56.4958,Southampton
171,0,1,"Van der hoef, Mr. Wyckoff",M,61.0,0,0,33.5,Southampton
172,0,3,"Rice, Master. Arthur",M,4.0,4,1,29.125,Queenstown
173,1,3,"Johnson, Miss. Eleanor Ileen",F,1.0,1,1,11.1333,Southampton
174,0,3,"Sivola, Mr. Antti Wilhelm",M,21.0,0,0,7.925,Southampton
175,0,1,"Smith, Mr. James Clinch",M,56.0,0,0,30.6958,Cherbourg
176,0,3,"Klasen, Mr. Klas Albin",M,18.0,1,1,7.8542,Southampton
177,0,3,"Lefebre, Master. Henry Forbes",M,30.0,3,1,25.4667,Southampton
178,0,1,"Isham, Miss. Ann Elizabeth",F,50.0,0,0,28.7125,Cherbourg
179,0,2,"Hale, Mr. Reginald",M,30.0,0,0,13.0,Southampton
180,0,3,"Leonard, Mr. Lionel",M,36.0,0,0,0.0,Southampton
181,0,3,"Sage, Miss. Constance Gladys",F,30.0,8,2,69.55,Southampton
182,0,2,"Pernot, Mr. Rene",M,30.0,0,0,15.05,Cherbourg
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",M,9.0,4,2,31.3875,Southampton
184,1,2,"Becker, Master. Richard F",M,1.0,2,1,39.0,Southampton
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",F,4.0,0,2,22.025,Southampton
186,0,1,"Rood, Mr. Hugh Roscoe",M,30.0,0,0,50.0,Southampton
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",F,30.0,1,0,15.5,Queenstown
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",M,45.0,0,0,26.55,Southampton
189,0,3,"Bourke, Mr. John",M,40.0,1,1,15.5,Queenstown
190,0,3,"Turcin, Mr. Stjepan",M,36.0,0,0,7.8958,Southampton
191,1,2,"Pinsky, Mrs. (Rosa)",F,32.0,0,0,13.0,Southampton
192,0,2,"Carbines, Mr. William",M,19.0,0,0,13.0,Southampton
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",F,19.0,1,0,7.8542,Southampton
194,1,2,"Navratil, Master. Michel M",M,3.0,1,1,26.0,Southampton
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",F,44.0,0,0,27.7208,Cherbourg
196,1,1,"Lurette, Miss. Elise",F,58.0,0,0,146.5208,Cherbourg
197,0,3,"Mernagh, Mr. Robert",M,30.0,0,0,7.75,Queenstown
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",M,42.0,0,1,8.4042,Southampton
199,1,3,"Madigan, Miss. Margaret ""Maggie""",F,30.0,0,0,7.75,Queenstown
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",F,24.0,0,0,13.0,Southampton
201,0,3,"Vande Walle, Mr. Nestor Cyriel",M,28.0,0,0,9.5,Southampton
202,0,3,"Sage, Mr. Frederick",M,30.0,8,2,69.55,Southampton
203,0,3,"Johanson, Mr. Jakob Alfred",M,34.0,0,0,6.4958,Southampton
204,0,3,"Youseff, Mr. Gerious",M,46.0,0,0,7.225,Cherbourg
205,1,3,"Cohen, Mr. Gurshon ""Gus""",M,18.0,0,0,8.05,Southampton
206,0,3,"Strom, Miss. Telma Matilda",F,2.0,0,1,10.4625,Southampton
207,0,3,"Backstrom, Mr. Karl Alfred",M,32.0,1,0,15.85,Southampton
208,1,3,"Albimona, Mr. Nassef Cassem",M,26.0,0,0,18.7875,Cherbourg
209,1,3,"Carr, Miss. Helen ""Ellen""",F,16.0,0,0,7.75,Queenstown
210,1,1,"Blank, Mr. Henry",M,40.0,0,0,31.0,Cherbourg
211,0,3,"Ali, Mr. Ahmed",M,24.0,0,0,7.05,Southampton
212,1,2,"Cameron, Miss. Clear Annie",F,35.0,0,0,21.0,Southampton
213,0,3,"Perkin, Mr. John Henry",M,22.0,0,0,7.25,Southampton
214,0,2,"Givard, Mr. Hans Kristensen",M,30.0,0,0,13.0,Southampton
215,0,3,"Kiernan, Mr. Philip",M,30.0,1,0,7.75,Queenstown
216,1,1,"Newell, Miss. Madeleine",F,31.0,1,0,113.275,Cherbourg
217,1,3,"Honkanen, Miss. Eliina",F,27.0,0,0,7.925,Southampton
218,0,2,"Jacobsohn, Mr. Sidney Samuel",M,42.0,1,0,27.0,Southampton
219,1,1,"Bazzani, Miss. Albina",F,32.0,0,0,76.2917,Cherbourg
220,0,2,"Harris, Mr. Walter",M,30.0,0,0,10.5,Southampton
221,1,3,"Sunderland, Mr. Victor Francis",M,16.0,0,0,8.05,Southampton
222,0,2,"Bracken, Mr. James H",M,27.0,0,0,13.0,Southampton
223,0,3,"Green, Mr. George Henry",M,51.0,0,0,8.05,Southampton
224,0,3,"Nenkoff, Mr. Christo",M,30.0,0,0,7.8958,Southampton
225,1,1,"Hoyt, Mr. Frederick Maxfield",M,38.0,1,0,90.0,Southampton
226,0,3,"Berglund, Mr. Karl Ivar Sven",M,22.0,0,0,9.35,Southampton
227,1,2,"Mellors, Mr. William John",M,19.0,0,0,10.5,Southampton
228,0,3,"Lovell, Mr. John Hall (""Henry"")",M,20.0,0,0,7.25,Southampton
229,0,2,"Fahlstrom, Mr. Arne Jonas",M,18.0,0,0,13.0,Southampton
230,0,3,"Lefebre, Miss. Mathilde",F,30.0,3,1,25.4667,Southampton
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",F,35.0,1,0,83.475,Southampton
232,0,3,"Larsson, Mr. Bengt Edvin",M,29.0,0,0,7.775,Southampton
233,0,2,"Sjostedt, Mr. Ernst Adolf",M,59.0,0,0,13.5,Southampton
234,1,3,"Asplund, Miss. Lillian Gertrud",F,5.0,4,2,31.3875,Southampton
235,0,2,"Leyson, Mr. Robert William Norman",M,24.0,0,0,10.5,Southampton
236,0,3,"Harknett, Miss. Alice Phoebe",F,30.0,0,0,7.55,Southampton
237,0,2,"Hold, Mr. Stephen",M,44.0,1,0,26.0,Southampton
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",F,8.0,0,2,26.25,Southampton
239,0,2,"Pengelly, Mr. Frederick William",M,19.0,0,0,10.5,Southampton
240,0,2,"Hunt, Mr. George Henry",M,33.0,0,0,12.275,Southampton
241,0,3,"Zabour, Miss. Thamine",F,30.0,1,0,14.4542,Cherbourg
242,1,3,"Murphy, Miss. Katherine ""Kate""",F,30.0,1,0,15.5,Queenstown
243,0,2,"Coleridge, Mr. Reginald Charles",M,29.0,0,0,10.5,Southampton
244,0,3,"Maenpaa, Mr. Matti Alexanteri",M,22.0,0,0,7.125,Southampton
245,0,3,"Attalah, Mr. Sleiman",M,30.0,0,0,7.225,Cherbourg
246,0,1,"Minahan, Dr. William Edward",M,44.0,2,0,90.0,Queenstown
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",F,25.0,0,0,7.775,Southampton
248,1,2,"Hamalainen, Mrs. William (Anna)",F,24.0,0,2,14.5,Southampton
249,1,1,"Beckwith, Mr. Richard Leonard",M,37.0,1,1,52.5542,Southampton
250,0,2,"Carter, Rev. Ernest Courtenay",M,54.0,1,0,26.0,Southampton
251,0,3,"Reed, Mr. James George",M,30.0,0,0,7.25,Southampton
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",F,29.0,1,1,10.4625,Southampton
253,0,1,"Stead, Mr. William Thomas",M,62.0,0,0,26.55,Southampton
254,0,3,"Lobb, Mr. William Arthur",M,30.0,1,0,16.1,Southampton
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",F,41.0,0,2,20.2125,Southampton
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",F,29.0,0,2,15.2458,Cherbourg
257,1,1,"Thorne, Mrs. Gertrude Maybelle",F,30.0,0,0,79.2,Cherbourg
258,1,1,"Cherry, Miss. Gladys",F,30.0,0,0,86.5,Southampton
259,1,1,"Ward, Miss. Anna",F,35.0,0,0,512.3292,Cherbourg
260,1,2,"Parrish, Mrs. (Lutie Davis)",F,50.0,0,1,26.0,Southampton
261,0,3,"Smith, Mr. Thomas",M,30.0,0,0,7.75,Queenstown
262,1,3,"Asplund, Master. Edvin Rojj Felix",M,3.0,4,2,31.3875,Southampton
263,0,1,"Taussig, Mr. Emil",M,52.0,1,1,79.65,Southampton
264,0,1,"Harrison, Mr. William",M,40.0,0,0,0.0,Southampton
265,0,3,"Henry, Miss. Delia",F,30.0,0,0,7.75,Queenstown
266,0,2,"Reeves, Mr. David",M,36.0,0,0,10.5,Southampton
267,0,3,"Panula, Mr. Ernesti Arvid",M,16.0,4,1,39.6875,Southampton
268,1,3,"Persson, Mr. Ernst Ulrik",M,25.0,1,0,7.775,Southampton
